rate,window_duration,p_click_heralded
5.00e+06,2.00e-08,1.0e-06,0.514320
5.00e+06,2.00e-08,1.0e-05,0.506229
5.00e+06,2.00e-08,1.0e-04,0.502247
5.00e+06,2.00e-08,1.0e-03,0.508603
5.00e+06,2.00e-08,1.0e-02,0.510076
5.00e+06,2.00e-08,1.0e-01,0.551654
5.00e+06,5.00e-08,1.0e-08,0.517895
5.00e+06,5.00e-08,1.0e-07,0.519457
5.00e+06,5.00e-08,1.0e-06,0.508839
5.00e+06,5.00e-08,1.0e-05,0.521233
5.00e+06,5.00e-08,1.0e-04,0.516530
5.00e+06,5.00e-08,1.0e-03,0.514032
5.00e+06,5.00e-08,1.0e-02,0.510045
5.00e+06,5.00e-08,1.0e-01,0.556785
5.00e+06,1.00e-07,1.0e-08,0.543569
5.00e+06,1.00e-07,1.0e-07,0.535146
5.00e+06,1.00e-07,1.0e-06,0.531891
5.00e+06,1.00e-07,1.0e-05,0.528405
5.00e+06,1.00e-07,1.0e-04,0.532912
5.00e+06,1.00e-07,1.0e-03,0.533045
5.00e+06,1.00e-07,1.0e-02,0.539174
5.00e+06,1.00e-07,1.0e-01,0.575624
5.00e+06,2.00e-07,1.0e-08,0.564065
5.00e+06,2.00e-07,1.0e-07,0.561372
5.00e+06,2.00e-07,1.0e-06,0.561106
5.00e+06,2.00e-07,1.0e-05,0.560386
5.00e+06,2.00e-07,1.0e-04,0.557879
5.00e+06,2.00e-07,1.0e-03,0.562576
5.00e+06,2.00e-07,1.0e-02,0.569721
5.00e+06,2.00e-07,1.0e-01,0.613167
5.00e+06,5.00e-07,1.0e-08,0.649249
5.00e+06,5.00e-07,1.0e-07,0.654472
5.00e+06,5.00e-07,1.0e-06,0.651638
5.00e+06,5.00e-07,1.0e-05,0.647677
5.00e+06,5.00e-07,1.0e-04,0.650781
5.00e+06,5.00e-07,1.0e-03,0.650867
5.00e+06,5.00e-07,1.0e-02,0.656779
5.00e+06,5.00e-07,1.0e-01,0.696189
