min_gap,window_duration,g2
1.00e-06,5.00e-08,0.000000
1.00e-06,1.00e-07,0.000000
1.00e-06,2.00e-07,0.000000
1.00e-06,5.00e-07,0.000000
1.00e-06,1.00e-06,0.000040
1.00e-06,2.00e-06,0.500640
1.00e-06,5.00e-06,0.799832
1.00e-06,1.00e-05,0.900451
2.00e-06,5.00e-10,0.000000
2.00e-06,1.00e-09,0.000000
2.00e-06,2.00e-09,0.000000
2.00e-06,5.00e-09,0.000000
2.00e-06,1.00e-08,0.000000
2.00e-06,2.00e-08,0.000000
2.00e-06,5.00e-08,0.000000
2.00e-06,1.00e-07,0.000000
2.00e-06,2.00e-07,0.000000
2.00e-06,5.00e-07,0.000000
2.00e-06,1.00e-06,0.000000
2.00e-06,2.00e-06,0.000120
2.00e-06,5.00e-06,0.638753
2.00e-06,1.00e-05,0.799544
5.00e-06,5.00e-10,0.000000
5.00e-06,1.00e-09,0.000000
5.00e-06,2.00e-09,0.000000
5.00e-06,5.00e-09,0.000000
5.00e-06,1.00e-08,0.000000
5.00e-06,2.00e-08,0.000000
5.00e-06,5.00e-08,0.000000
5.00e-06,1.00e-07,0.000000
5.00e-06,2.00e-07,0.000000
5.00e-06,5.00e-07,0.000000
5.00e-06,1.00e-06,0.000000
5.00e-06,2.00e-06,0.000000
5.00e-06,5.00e-06,0.000040
5.00e-06,1.00e-05,0.500086
1.00e-05,5.00e-10,0.000000
1.00e-05,1.00e-09,0.000000
1.00e-05,2.00e-09,0.000000
1.00e-05,5.00e-09,0.000000
1.00e-05,1.00e-08,0.000000
1.00e-05,2.00e-08,0.000000
1.00e-05,5.00e-08,0.000000
1.00e-05,1.00e-07,0.000000
1.00e-05,2.00e-07,0.000000
1.00e-05,5.00e-07,0.000000
1.00e-05,1.00e-06,0.000000
1.00e-05,2.00e-06,0.000000
1.00e-05,5.00e-06,0.000000
1.00e-05,1.00e-05,0.000080
